episode,step,state,action,next_state,reward,path_feature,denormalized_path_feature,path_features,denormalized_path_features
3,0,286,0,235,-0.46756723523139954,"[-0.4285714328289032, -0.3672233819961548, -1.0, -0.8399999737739563, -1.0, -1.0, -0.5757575631141663, -1.0, -1.0, -1.0, -0.5, -1.0]","[14, 1001, 0, 2, 0, 0, 7, 0, 0, 0, 6, 1]","[-0.42857143 -0.36722338 -1.         -0.84       -1.         -1.
 -0.57575756 -1.         -1.         -1.         -0.5        -1.        ]",[  14 1001    0    2    0    0    7    0    0    0    6    1]
3,1,235,0,246,-0.4322192072868347,"[-0.4693877696990967, -0.4459054172039032, -1.0, -0.8399999737739563, -1.0, -1.0, -0.6363636255264282, -1.0, -1.0, -1.0, -0.5, -1.0]","[13, 876, 0, 2, 0, 0, 6, 0, 0, 0, 6, 1]","[-0.46938777 -0.44590542 -1.         -0.84       -1.         -1.
 -0.6363636  -1.         -1.         -1.         -0.5        -1.        ]",[ 13 876   0   2   0   0   6   0   0   0   6   1]
3,2,246,0,34,-0.1555767059326172,"[-0.5102040767669678, -0.49182990193367004, -1.0, -0.8399999737739563, -1.0, -1.0, -0.6969696879386902, -1.0, -1.0, -1.0, -0.5, -1.0]","[12, 804, 0, 2, 0, 0, 5, 0, 0, 0, 6, 1]","[-0.5102041 -0.4918299 -1.        -0.84      -1.        -1.
 -0.6969697 -1.        -1.        -1.        -0.5       -1.       ]",[ 12 804   0   2   0   0   5   0   0   0   6   1]
3,3,34,0,33,-0.2544461786746979,"[-0.5510203838348389, -0.5310356020927429, -1.0, -0.8399999737739563, -1.0, -1.0, -0.7575757503509521, -1.0, -1.0, -1.0, -0.5, -1.0]","[11, 742, 0, 2, 0, 0, 4, 0, 0, 0, 6, 1]","[-0.5510204  -0.5310356  -1.         -0.84       -1.         -1.
 -0.75757575 -1.         -1.         -1.         -0.5        -1.        ]",[ 11 742   0   2   0   0   4   0   0   0   6   1]
3,4,33,0,31,-0.44126278162002563,"[-0.5918367505073547, -0.5720921754837036, -1.0, -0.8399999737739563, -1.0, -1.0, -0.8181818127632141, -1.0, -1.0, -1.0, -0.5, -1.0]","[10, 677, 0, 2, 0, 0, 3, 0, 0, 0, 6, 1]","[-0.59183675 -0.5720922  -1.         -0.84       -1.         -1.
 -0.8181818  -1.         -1.         -1.         -0.5        -1.        ]",[ 10 677   0   2   0   0   3   0   0   0   6   1]
3,5,31,0,357,-0.2679169178009033,"[-0.6326530575752258, -0.60926353931427, -1.0, -0.8399999737739563, -1.0, -1.0, -0.8787878751754761, -1.0, -1.0, -1.0, -0.5, -1.0]","[9, 618, 0, 2, 0, 0, 2, 0, 0, 0, 6, 1]","[-0.63265306 -0.60926354 -1.         -0.84       -1.         -1.
 -0.8787879  -1.         -1.         -1.         -0.5        -1.        ]",[  9 618   0   2   0   0   2   0   0   0   6   1]
3,6,357,0,40,-0.20204448699951172,"[-0.6734693646430969, -0.6487000584602356, -1.0, -0.8399999737739563, -1.0, -1.0, -0.939393937587738, -1.0, -1.0, -1.0, -0.5, -1.0]","[8, 556, 0, 2, 0, 0, 1, 0, 0, 0, 6, 1]","[-0.67346936 -0.64870006 -1.         -0.84       -1.         -1.
 -0.93939394 -1.         -1.         -1.         -0.5        -1.        ]",[  8 556   0   2   0   0   1   0   0   0   6   1]
3,7,40,0,50,-0.2131410837173462,"[-0.7142857313156128, -0.6860788464546204, -1.0, -0.8399999737739563, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5, -1.0]","[7, 496, 0, 2, 0, 0, 0, 0, 0, 0, 6, 1]","[-0.71428573 -0.68607885 -1.         -0.84       -1.         -1.
 -1.         -1.         -1.         -1.         -0.5        -1.        ]",[  7 496   0   2   0   0   0   0   0   0   6   1]
3,8,50,1,20,-0.20007511973381042,"[-0.7551020383834839, -0.7453910708427429, -1.0, -0.9200000166893005, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5833333134651184, -1.0]","[6, 403, 0, 1, 0, 0, 0, 0, 0, 0, 5, 1]","[-0.75510204 -0.7453911  -1.         -0.92       -1.         -1.
 -1.         -1.         -1.         -1.         -0.5833333  -1.        ]",[  6 403   0   1   0   0   0   0   0   0   5   1]
3,9,20,0,23,-0.10493183135986328,"[-0.795918345451355, -0.7649253010749817, -1.0, -0.9200000166893005, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.6666666865348816, -1.0]","[5, 372, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1]","[-0.79591835 -0.7649253  -1.         -0.92       -1.         -1.
 -1.         -1.         -1.         -1.         -0.6666667  -1.        ]",[  5 372   0   1   0   0   0   0   0   0   4   1]
