osmid,y,x,street_count,highway,geometry,neighbors
5581434215,37.9917038,23.7312294,3,,POINT (23.7312294 37.9917038),"[97788477, 5921003579]"
5581434217,37.9917942,23.7314073,4,,POINT (23.7314073 37.9917942),"[8207556731, 6910572379]"
5921003579,37.9916806,23.731379,4,,POINT (23.731379 37.9916806),"[5581434217, 4056070360]"
6220792258,37.9759741,23.7376179,3,,POINT (23.7376179 37.9759741),[954712407]
6220792260,37.9772926,23.7378391,3,,POINT (23.7378391 37.9772926),"[6220792258, 250692409]"
6356544246,37.986877,23.7310243,4,,POINT (23.7310243 37.986877),[97788594]
6376633339,37.9805914,23.7301146,3,,POINT (23.7301146 37.9805914),[]
6693568141,37.9859706,23.7246801,3,,POINT (23.7246801 37.9859706),"[95663375, 31179468]"
6693647611,37.9820107,23.7289059,1,,POINT (23.7289059 37.9820107),[250691664]
6910572379,37.9918191,23.7312574,3,,POINT (23.7312574 37.9918191),[5581434215]
6943632782,37.9921449,23.7314861,3,,POINT (23.7314861 37.9921449),[961484809]
7127124359,37.9783174,23.7320061,3,,POINT (23.7320061 37.9783174),[]
7214467394,37.9834244,23.7266101,4,,POINT (23.7266101 37.9834244),"[97846089, 363357735]"
7248584892,37.9875243,23.7236788,4,,POINT (23.7236788 37.9875243),[97835127]
7384331753,37.9760329,23.7356402,4,,POINT (23.7356402 37.9760329),[42240105]
8207556731,37.992112,23.7314787,3,,POINT (23.7314787 37.992112),[6943632782]
8212395769,37.9888743,23.7250288,3,,POINT (23.7250288 37.9888743),"[97839373, 95663490]"
8212395770,37.988863,23.7250927,3,,POINT (23.7250927 37.988863),"[8212395769, 95663490]"
8253823131,37.9869547,23.7263633,3,,POINT (23.7263633 37.9869547),"[962356923, 95663527]"
8446047162,37.9820951,23.735425,4,,POINT (23.735425 37.9820951),[10134034285]
10134034285,37.9825191,23.7350832,4,,POINT (23.7350832 37.9825191),"[250699711, 250699613]"
10134034290,37.9808197,23.7364526,4,,POINT (23.7364526 37.9808197),[300400248]
10134034294,37.9800974,23.7370345,4,,POINT (23.7370345 37.9800974),"[10134034290, 300400470]"
10174555843,37.9802494,23.735395,4,,POINT (23.735395 37.9802494),"[10134034290, 11271557478, 300400470]"
11256819882,37.9848608,23.7261732,1,,POINT (23.7261732 37.9848608),[11256819883]
11256819883,37.9849398,23.7256652,3,,POINT (23.7256652 37.9849398),"[250720872, 11256819882]"
11271557478,37.9801786,23.7352717,3,,POINT (23.7352717 37.9801786),"[250709162, 653971690]"
