ori,des,path,len,time_step
395,306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,27,10
324,240,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,19,10
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,10
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,10
19,4,19_24_348_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,21,10
395,260,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_80_118_124_116_278_276_267_265_262_261_260,30,10
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,10
324,147,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_147,20,10
347,281,347_83_77_75_310_237_233_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281,22,10
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,10
390,32,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_32,16,10
149,325,149_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,23,10
390,51,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,24,10
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,16,10
390,392,390_344_168_374_156_157_176_177_189_191_193_180_315_185_179_418_251_164_174_159_167_166_392,23,10
400,8,400_286_235_246_34_33_31_357_40_49_364_46_41_378_381_352_1_127_408_71_26_341_8,23,10
345,51,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51,25,10
345,330,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_49_364_48_44_51_330,26,10
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,10
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,10
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,16,10
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,10
390,240,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_240,16,10
345,187,345_169_369_168_374_156_157_176_177_189_191_193_180_316_187,15,10
238,325,238_400_286_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,19,10
283,392,283_21_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,27,10
390,281,390_344_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281,27,10
345,294,345_169_369_168_374_156_157_176_177_189_191_193_181_223_213_294,16,10
238,391,238_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,10
144,392,144_210_191_193_180_315_185_179_418_251_164_174_159_167_166_392,16,10
390,242,390_344_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,17,10
206,392,206_196_195_180_315_185_179_418_251_164_174_159_167_166_392,15,10
345,80,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80,27,10
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,10
367,222,367_400_287_200_208_145_146_148_227_151_152_153_156_157_176_177_189_191_193_181_222,21,10
345,242,345_169_369_168_374_156_157_176_177_189_190_211_202_235_245_239_241_242,18,10
345,306,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_19_24_349_313_79_80_118_124_116_278_275_273_372_306,35,10
238,391,238_400_287_200_208_145_146_148_227_151_152_153_155_164_174_159_167_166_391,19,10
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,10
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,10
55,391,55_132_134_52_360_0_366_351_248_30_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,28,10
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,10
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,10
324,392,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_392,31,10
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,10
324,391,324_326_280_397_385_91_85_314_347_83_77_75_310_236_376_231_198_196_195_180_315_185_179_418_251_164_174_159_167_166_391,31,10
324,4,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_234_200_208_145_146_148_227_151_152_154_4,26,10
395,306,395_7_340_27_72_409_365_362_358_380_377_42_47_355_19_24_349_313_79_81_117_301_382_275_273_372_306,27,10
345,325,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281_325,29,11
345,281,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_31_357_40_50_20_23_73_22_329_89_281,28,11
15,325,15_34_33_31_357_40_50_20_23_73_22_329_89_281_325,15,11
345,236,345_169_369_168_374_156_157_176_177_189_190_211_202_235_246_34_33_30_236,19,11
324,240,324_326_280_397_385_91_85_314_347_83_77_75_310_237_233_235_245_239_240,19,11
324,337,324_326_280_397_385_91_85_314_347_83_78_49_364_46_41_379_38_35_337,19,11
